image_filename,image_size,year,month,day,hour,min,sec,lon,lat,gSpeed,heading
frame000463_1718605553.850966.png,"(1136, 986)",2024,6,17,6,25,53,5.442216396331787,43.22803115844727,1050.0,168.0408935546875
frame000465_1718605554.316091.png,"(1136, 986)",2024,6,17,6,25,54,5.442220687866211,43.22801971435547,1098.0,160.2895965576172
frame000471_1718605555.801946.png,"(1136, 986)",2024,6,17,6,25,55,5.442222595214844,43.22801208496094,1008.0,172.16712951660156
frame000475_1718605556.725264.png,"(1136, 986)",2024,6,17,6,25,56,5.442225456237793,43.228004455566406,1098.0,166.1261444091797
frame000478_1718605557.535545.png,"(1136, 986)",2024,6,17,6,25,56,5.442226409912109,43.22800064086914,1075.0,163.07167053222656
frame000483_1718605558.883554.png,"(1136, 986)",2024,6,17,6,25,57,5.442229270935059,43.22799301147461,1012.0,173.73080444335938
frame000486_1718605559.611883.png,"(1136, 986)",2024,6,17,6,25,59,5.442230224609375,43.22797393798828,1069.0,179.4853515625
frame000490_1718605560.527569.png,"(1136, 986)",2024,6,17,6,26,0,5.442229270935059,43.22796630859375,1148.0,182.5640411376953
frame000491_1718605560.784787.png,"(1136, 986)",2024,6,17,6,26,0,5.442229270935059,43.22796249389648,1177.0,181.8486175537109
frame000495_1718605561.644645.png,"(1136, 986)",2024,6,17,6,26,1,5.442230224609375,43.22795486450195,1157.0,176.83277893066406
frame000499_1718605562.719540.png,"(1136, 986)",2024,6,17,6,26,2,5.442227840423584,43.22795104980469,1068.0,198.03407287597656
frame000503_1718605563.688753.png,"(1136, 986)",2024,6,17,6,26,2,5.442221164703369,43.22794342041016,1210.0,217.7594146728516
frame000509_1718605565.034065.png,"(1136, 986)",2024,6,17,6,26,4,5.442200183868408,43.22793197631836,1304.0,231.27723693847656
frame000511_1718605565.506003.png,"(1136, 986)",2024,6,17,6,26,4,5.442196846008301,43.22792816162109,1356.0,231.6313018798828
frame000516_1718605566.700052.png,"(1136, 986)",2024,6,17,6,26,5,5.442187786102295,43.22792053222656,1342.0,211.9103240966797
frame000520_1718605567.741258.png,"(1136, 986)",2024,6,17,6,26,6,5.442193031311035,43.22791290283203,1059.0,141.13937377929688
frame000523_1718605568.468039.png,"(1136, 986)",2024,6,17,6,26,7,5.442203521728516,43.2279052734375,1038.0,125.32515716552734
frame000528_1718605569.733318.png,"(1136, 986)",2024,6,17,6,26,8,5.442209243774414,43.22789764404297,1228.0,163.6238250732422
frame000532_1718605570.712922.png,"(1136, 986)",2024,6,17,6,26,10,5.442200183868408,43.22787857055664,1327.0,204.9256134033203
frame000536_1718605571.549782.png,"(1136, 986)",2024,6,17,6,26,10,5.442198276519775,43.227874755859375,1344.0,206.9882049560547
frame000540_1718605572.713383.png,"(1136, 986)",2024,6,17,6,26,12,5.442197322845459,43.22785568237305,1235.0,178.14498901367188
frame000544_1718605573.712412.png,"(1136, 986)",2024,6,17,6,26,12,5.442197322845459,43.22785568237305,1178.0,181.00564575195312
